"","hom_ref","het","hom_alt","N.A"
"Lm-M14Cb",26,110,34,3
"Lm-M11Cb",33,135,3,2
"Lm-M09b",63,61,18,31
"Lm-M02Cb",3,0,2,168
"Lm-F16b",106,12,15,40
"Lm-F15Cbf",119,14,17,23
"Lm-M03Cb",4,0,2,167
"Lm-F13Cbf",131,9,30,3
"Lm-F12Cf",128,1,33,11
"Lm-F09Cf",130,1,32,10
"Lm-F08Cbf",134,8,28,3
"Lm-M15Cb",29,127,13,4
"Lm-F07b",122,17,10,24
"Lm-F05Cbf",137,26,5,5
"OR05F",130,15,27,1
"Lm-M04b",43,77,25,28
"Lm-F02Cb",108,18,7,40
"OR03M",136,29,6,2
"OR09M",136,2,35,0
"Lm-M05b",51,98,15,9
"OR01M",25,142,6,0
"Lm-M13Cf",31,98,42,2
"Lm-M12Cb",36,89,36,12
"Lm-M07Cf",62,95,12,4
"Lm-F04Cbf",134,27,7,5
"Lm-F06Cbf",126,18,14,15
"OR01F",136,32,5,0
"GRE6-7_1",138,30,5,0
"Lm-M10b",54,77,19,23
"Lm-F10Cb",136,2,35,0
"GRE5_2b",64,100,5,4
"OR04Mb",137,30,6,0
"OR05M",133,13,27,0
"TUNI06-M",128,30,2,13
"GRE3-4_1b",55,109,9,0
"Lm-F03Cb",135,30,6,2
"OR03Fb",136,30,5,2
"OR04F",132,14,27,0
"GRE3-4_2b",139,29,5,0
"GRE1-2_5b",54,110,9,0
"Lm-F11b",123,17,5,28
"OR06Fb",136,32,5,0
"OR10M",21,124,28,0
"Lm-M08Cb",35,119,8,11
"OR09F",136,31,5,1
"OR02M",133,13,26,1
"OR07M",35,134,2,2
"Lm-F14Cbf",135,23,8,7
"OR08F",136,31,6,0
"TUNI10-Mb",130,35,3,5
"TUNI13-Fb",30,137,4,2
"TUNI14-Fb",27,140,4,2
"Lm-M06Cb",46,109,6,12
"Lm-M01Cf",31,135,3,4
"TUNI11-Fb",25,143,3,2
"Lm-F01Cb",81,6,5,81
