"","hom_ref","het","hom_alt","N.A"
"Lm-M14Cb",0,26,0,0
"Lm-M11Cb",0,26,0,0
"Lm-M09b",4,21,1,0
"Lm-M02Cb",2,0,0,24
"Lm-F16b",26,0,0,0
"Lm-F15Cbf",26,0,0,0
"Lm-M03Cb",3,0,0,23
"Lm-F13Cbf",26,0,0,0
"Lm-F12Cf",26,0,0,0
"Lm-F09Cf",26,0,0,0
"Lm-F08Cbf",26,0,0,0
"Lm-M15Cb",0,26,0,0
"Lm-F07b",26,0,0,0
"Lm-F05Cbf",26,0,0,0
"OR05F",26,0,0,0
"Lm-M04b",1,25,0,0
"Lm-F02Cb",24,0,0,2
"OR03M",26,0,0,0
"OR09M",26,0,0,0
"Lm-M05b",3,23,0,0
"OR01M",0,26,0,0
"Lm-M13Cf",0,26,0,0
"Lm-M12Cb",0,26,0,0
"Lm-M07Cf",1,25,0,0
"Lm-F04Cbf",26,0,0,0
"Lm-F06Cbf",26,0,0,0
"OR01F",26,0,0,0
"GRE6-7_1",26,0,0,0
"Lm-M10b",7,19,0,0
"Lm-F10Cb",26,0,0,0
"GRE5_2b",10,16,0,0
"OR04Mb",26,0,0,0
"OR05M",26,0,0,0
"TUNI06-M",26,0,0,0
"GRE3-4_1b",10,16,0,0
"Lm-F03Cb",26,0,0,0
"OR03Fb",26,0,0,0
"OR04F",26,0,0,0
"GRE3-4_2b",26,0,0,0
"GRE1-2_5b",10,16,0,0
"Lm-F11b",26,0,0,0
"OR06Fb",26,0,0,0
"OR10M",0,26,0,0
"Lm-M08Cb",0,26,0,0
"OR09F",26,0,0,0
"OR02M",26,0,0,0
"OR07M",0,26,0,0
"Lm-F14Cbf",26,0,0,0
"OR08F",26,0,0,0
"TUNI10-Mb",26,0,0,0
"TUNI13-Fb",1,25,0,0
"TUNI14-Fb",0,26,0,0
"Lm-M06Cb",1,25,0,0
"Lm-M01Cf",0,26,0,0
"TUNI11-Fb",0,26,0,0
"Lm-F01Cb",21,0,0,5
