"","hom_ref","het","hom_alt","N.A"
"LN-T28_F",26,0,0,0
"LN-T27_F",26,0,0,0
"LN-T22_M",9,16,1,0
"LN-T20_M",11,15,0,0
"LN-T18b_M",11,15,0,0
"LN-T17b_M",10,16,0,0
"LN-T23_M",10,16,0,0
"LN-T16_M",9,17,0,0
"LN-T26_F",26,0,0,0
"LN-T24_M",11,15,0,0
"LN-T1_M",9,17,0,0
"LN-T2_F",26,0,0,0
"LN-T3_F",26,0,0,0
"LN-T14_M",11,15,0,0
"LN-T4_M",26,0,0,0
"LN-T11_M",9,17,0,0
"LN-T21_M",10,16,0,0
"LN-T5_F",26,0,0,0
"LN-T6_M",11,15,0,0
"LN-T7_M",9,17,0,0
"LN-T25",10,16,0,0
"LN-T19_M",26,0,0,0
"LN-T10_M",11,15,0,0
"LN-T15_M",9,17,0,0
"LN-T12_M",11,15,0,0
"LN-T13_F",26,0,0,0
